episode,scenario,timesteps,reward,distance,collision,pedestrian_collision,blocker_collision,wall_collision,dilemma_decision,pedestrians_hit,episode_outcome,collision_actor_type
498,Scenario02,1130,-601.84,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
499,Scenario02,1077,-605.80,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
500,Scenario02,1373,-909.63,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0002
501,Scenario02,796,-618.47,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
502,Scenario02,1086,-409.55,27.00,True,True,False,False,left_one,1,left_one,walker.pedestrian.0004
503,Scenario02,670,-620.43,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
504,Scenario02,1064,-599.17,22.00,True,False,False,True,none,0,wall_collision,static.fence
505,Scenario02,706,-618.82,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
506,Scenario02,961,-599.72,19.00,True,False,False,True,none,0,wall_collision,static.fence
507,Scenario02,1191,-599.62,25.00,True,False,False,True,none,0,wall_collision,static.fence
508,Scenario02,1041,-599.76,22.00,True,False,False,True,none,0,wall_collision,static.fence
509,Scenario02,939,-605.12,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
510,Scenario02,1198,-602.63,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
511,Scenario02,1150,-899.60,27.00,True,True,False,False,right_two_b,2,right_two_b,walker.pedestrian.0004
512,Scenario02,1140,-902.63,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0006
